id,titulo,showType,descricao,releaseYear,ageCertification,runtime,generos,productionCountries,temporadas,imdbId,imdbScore,imdbVotes,tmdbPopularity,tmdbScore
tm1087160,Fever Dream,MOVIE,"It will tell the haunting story of broken souls, toxins, looming environmental and spiritual catastrophes, and the ties that bind a parent to a child.",2021,R,93,"drama,horror,thriller","CL,PE",0,0,tt9471660,5,4,1906,0,30,4,5,9
tm1087461,Last Man Down,MOVIE,"After civilization succumbs to a deadly pandemic and his wife is murdered, a special forces soldier abandons his duty and becomes a hermit in the Nordic wilderness. Years later, a wounded woman appears on his doorstep. She's escaped from a lab and her pursuers believe her blood is the key to a worldwide cure. He's hesitant to get involved, but all doubts are cast aside when he discovers her pursuer is none other than Commander Stone, the man that murdered his wife some years ago.",2021,R,87,"thriller,action,scifi","SE,GB",0,0,tt12335692,4,8,12850,0,358,3,6,3
tm1088320,Father Christmas Is Back,MOVIE,"Four sisters – Caroline, Joanna, Paulina, and Vicky – reunite for the Christmas Holiday in a Yorkshire mansion. However, their estranged father, James, joins in for the first time since he left the family behind decades prior. The group attempts to get through the holiday despite comedic misunderstandings, while also uncovering the long-buried secret that tore their family apart, so many years ago.",2021,PG-13,104,comedy,GB,0,0,tt13103340,4,5,5658,0,30,9,4,7
tm1091155,Untold: Breaking Point,MOVIE,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court.",2021,R,79,"documentation,sport",US,0,0,tt15101938,7,6,2490,0,5,4,8,0
tm1092075,Forever Rich,MOVIE,A rising rap superstar spirals out when a humiliating video goes viral and pushes him into a battle for redemption — over the course of one long night.,2021,R,90,"crime,comedy,drama,music,thriller",NL,0,0,tt12748300,5,5,1025,0,17,2,6,0
tm1092864,The Unforgivable,MOVIE,A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.,2021,R,112,"drama,crime","GB,US,DE",0,0,tt11233960,7,1,105353,0,74,2,7,5
tm1092892,Found,MOVIE,Follows the story of three American teenage girls—each adopted from China—who discover they are blood-related cousins on 23andMe. Their online meeting inspires the young women to confront the burning questions they have about their lost history.,2021,PG,97,"documentation,drama","CN,US",0,0,tt13622146,7,5,1198,0,33,0,7,5
tm1092958,No One Gets Out Alive,MOVIE,An immigrant in search of the American dream is forced to take a room in a boarding house and soon finds herself in a nightmare from which she can't escape.,2021,R,85,"horror,thriller,drama","RO,US",0,0,tt13056008,5,3,15031,0,96,1,6,0
tm1092995,Shaun the Sheep: The Flight Before Christmas,MOVIE,Shaun's seasonal excitement turns to dismay when a farmhouse raid to get bigger stockings for the flock inadvertently leads to Timmy going missing. Can Shaun get Timmy back before he becomes someone else’s present?,2021,G,30,"animation,comedy,family",GB,0,0,tt15857304,7,3,1491,0,67,8,7,0
tm1094069,The Women and the Murderer,MOVIE,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.,2021,PG-13,92,"documentation,crime",FR,0,0,tt15216504,6,4,1237,0,9,1,6,2
tm1096775,Procession,MOVIE,Six men who were sexually abused by Catholic clergy as boys find empowerment by creating short films inspired by their trauma.,2021,R,118,documentation,US,0,0,tt14300912,7,2,1148,0,6,7,5,8
tm1099320,Convergence: Courage in a Crisis,MOVIE,"Activists and volunteers work through the darkest days of 2020, galvanizing social change amidst chaos as governments start to fail local communities. This epic, globally spanning and deeply passionate documentary serves as a clarion call that great change can be born of crisis.",2021,R,113,documentation,"GB,US",0,0,tt15398694,5,4,262,0,6,6,5,2
tm110160,Avvai Shanmugi,MOVIE,"A divorced husband desperately misses his daughter. In order to be with her, he takes up a job in his father-in-law's house. The only catch is that the job is that of a female governess.",1996,PG-13,160,"drama,comedy",IN,0,0,tt0139872,7,9,2586,0,2,8,7,5
tm1101878,Honey Girls,MOVIE,"Mega pop star, Fancy G, hosts a contest to find the next big solo artist. But the young contestants realize they are ""better together"" and secretly form a band called Honey Girls and become a huge hit cloaked in mystery.",2021,PG,90,"family,music,comedy",US,0,0,tt11847606,4,7,173,0,4,5,5,1
tm1102151,Bright: Samurai Soul,MOVIE,"Izo, a Ronin, and Raiden, an orc, work to bring a young elf girl and the wand she carries to the land of the elves in the north.",2021,PG-13,80,"fantasy,thriller,animation,action",JP,0,0,tt14837960,5,5,830,0,39,6,5,8
tm1107063,Love and Leashes,MOVIE,"Love never hurt so good for two co-workers who enter a contractual relationship as partners in consensual play, pleasure and pain.",2022,R,118,"comedy,romance",KR,0,0,tt15553956,6,3,4273,0,56,8,6,7
tm1107225,Through My Window,MOVIE,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",2022,R,116,"drama,romance,comedy",ES,0,0,tt14463484,5,4,9082,0,236,5,7,5
tm1111595,A California Christmas: City Lights,MOVIE,"Follows Callie and Joseph one year after they fell in love, now running a dairy farm and winery, but their romance is threatened when business and family obligations call Joseph back to the city.",2021,PG-13,105,"comedy,drama,romance",US,0,0,tt13701962,5,5,2231,0,19,8,6,6
